Nama SPKLU,Latitude,Longitude
SPKLU PLN ULP KOTANOPAN,0.6546261,99.7212633
SPKLU PLN ULP KUALA SIMPANG,4.2886361,98.0503925
SPKLU PLN ULP KUALA TUNGKAL,-0.8255449,103.4611676
SPKLU PLN ULP KURANJI,-0.8847628,100.3912732
SPKLU PLN ULP KUTACANE,3.4804995,97.8112459
SPKLU PLN ULP LABUHAN,3.6663141,98.665981
SPKLU PLN ULP LANGSA KOTA,4.4701253,97.9683975
SPKLU PLN ULP LHOKSEUMAWE KOTA,5.1839497,97.1477882
SPKLU PLN ULP LIMA PULUH KOTA,-0.1818465,100.6557256
SPKLU PLN ULP LIMAPULUH,3.1709442,99.4188336
SPKLU PLN ULP LINTAU,-0.5069638,100.7766827
SPKLU PLN ULP LIPAT KAIN,0.0255352,101.2033748
SPKLU PLN ULP LUBUK BASUNG,-0.3153002,100.0330851
SPKLU PLN ULP LUBUK LINGGAU,-3.2972075,102.8890851
SPKLU PLN ULP LUBUK SIKAPING,0.1332855,100.1678069
SPKLU PLN ULP MANNA,-4.4546283,102.8991871
SPKLU PLN ULP MEDAN BARU,3.5742544,98.6564945
SPKLU PLN ULP MEDAN TIMUR,3.6094258,98.7007021
SPKLU PLN ULP MEULABOH KOTA,4.1463514,96.1263634
SPKLU PLN ULP MUARA AMAN,-3.1246555,102.2072618
SPKLU PLN ULP MUARA DUA,-4.5442435,104.0707962
SPKLU PLN ULP MUARA ENIM,-3.6678677,103.7717456
SPKLU PLN ULP MUARA LABUH,-1.4738886,101.0393033
SPKLU PLN ULP MUARA TEBO,-1.4900602,102.4398167
SPKLU PLN ULP MUKOMUKO,-2.5775108,101.1221413
SPKLU PLN ULP Muratara,-2.6891259,102.8960566
SPKLU PLN ULP NUSA INDAH,-3.8228217,102.2963727
SPKLU PLN ULP PADANG PANJANG,-0.4632215,100.3868903
SPKLU PLN ULP PAGAR ALAM,-4.0359655,103.2607272
SPKLU PLN ULP PANAM,0.4638476,101.3789222
SPKLU PLN ULP PANGKALAN BALAI,-2.8961475,104.4023067
SPKLU PLN ULP PANGKALAN BRANDAN,4.0186722,98.2860013
SPKLU PLN ULP PANGKALAN KERINCI,0.391471,101.8483401
SPKLU PLN ULP PANGURURAN,2.6077662,98.6954599
SPKLU PLN ULP PANTON LABU,5.1160984,97.4575634
SPKLU PLN ULP PARAPAT,2.6675309,98.9424412
SPKLU PLN ULP PARIAMAN,-0.6253611,100.1191432
SPKLU PLN ULP PASIR PANGARAIAN,0.8625696,100.2967605
SPKLU PLN ULP PAYAKUMBUH,-0.2371274,100.6434357
SPKLU PLN ULP PEMATANGSIANTAR,2.9574118,99.0581726
SPKLU PLN ULP PENDOPO,-3.2855809,103.8350582
SPKLU PLN ULP PERAWANG,0.6684206,101.5888251
SPKLU PLN ULP PERDAGANGAN,3.1624229,99.3288071
SPKLU PLN ULP PRABUMULIH,-3.4171897,104.2568108
SPKLU PLN ULP RANTAUPRAPAT KOTA,2.1057376,99.8244501
SPKLU PLN ULP RENGAT KOTA,-0.37402,102.5448129
SPKLU PLN ULP RIMBO BUJANG,-1.317953,102.0981286
SPKLU PLN ULP RIMO,2.3967909,97.9632959
SPKLU PLN ULP SAMALANGA,5.1947819,96.3645571
SPKLU PLN ULP SAROLANGUN,-2.3044707,102.7143419
SPKLU PLN ULP SAWAHLUNTO,-0.6471662,100.7441371
SPKLU PLN ULP SEBERANG KOTA,-1.4516981,103.5181368
SPKLU PLN ULP SEI RAMPAH,3.4902673,99.1253059
SPKLU PLN ULP SEKAYU,-2.8875277,103.8366369
SPKLU PLN ULP SIAK SRI INDRAPURA,0.8001541,102.0411821
SPKLU PLN ULP SICINCIN,-0.5817719,100.2753456
SPKLU PLN ULP SIJUNJUNG,-0.6807174,100.9646642
SPKLU PLN ULP SIMPANG TIGA,0.4247084,101.4362827
SPKLU PLN ULP SINABANG,2.4835101,96.373894
SPKLU PLN ULP SRIBAWONO,-5.2855453,105.7551422
SPKLU PLN ULP STABAT,3.7422744,98.4428361
SPKLU PLN ULP SUNGAI PENUH,-2.0639108,101.3950044
SPKLU PLN ULP TAIS,-4.0746003,102.5788096
SPKLU PLN ULP TAKENGON,4.6326851,96.8401142
SPKLU PLN ULP TALUK KUANTAN,-0.5315769,101.567931
SPKLU PLN ULP TANJUNG BALAI,2.9587164,99.797616
SPKLU PLN ULP TARUTUNG,2.027073,98.9583307
SPKLU PLN ULP TEBING TINGGI,3.3351972,99.1628488
SPKLU PLN ULP TELANAI PURA,-1.616504,103.5869389
SPKLU PLN ULP TELUK DALAM,0.5634596,97.8177747
SPKLU PLN ULP TELUK SEGARA,-3.7911178,102.2485905
SPKLU PLN ULP TEMBILAHAN,-0.3202481,103.1521657
SPKLU PLN ULP TEUNOM,4.4446941,95.8129193
SPKLU PLN ULP Tebing Tinggi,3.3337321,99.1611945
SPKLU PLN ULP UJUNG BATU,0.7159364,100.5334851
SPKLU PLN UP3 BANGKINANG,0.3008034,100.9134651
SPKLU PLN UP3 BINJAI,3.6145164,98.4931661
