Nama EV,Baterai
Volkswagen ID.4 Pro 4MOTION,77.0
Volkswagen ID.4 GTX,77.0
Volkswagen ID.5 Pro,77.0
Volkswagen ID.5 GTX,77.0
Hongqi E-HS9 84 kWh,76.5
XPENG G9 RWD Standard Range,75.8
Audi Q6 e-tron Sportback,75.8
Audi Q6 e-tron,75.8
Audi A6 Sportback e-tron,75.8
Audi A6 Avant e-tron,75.8
Tesla Model Y Long Range AWD,75.0
Tesla Model Y Long Range AWD Launch Series,75.0
Mazda 6e Long Range,75.0
Tesla Model Y Long Range RWD,75.0
Tesla Model 3 Performance,75.0
Tesla Model 3 Long Range Dual Motor,75.0
Tesla Model 3 Long Range RWD,75.0
Smart #5 Pro,74.4
MG Cyberster Trophy,74.4
MG Cyberster GT,74.4
MG MG4 Electric 77 kWh,74.4
DS N°8 FWD,74.0
Genesis GV60 Premium,74.0
Genesis GV60 Sport,74.0
Genesis GV60 Sport Plus,74.0
Hyundai IONIQ 6 Long Range 2WD,74.0
Hyundai IONIQ 6 Long Range AWD,74.0
Genesis GV70 Electrified Sport,74.0
NIO ET5 Touring Standard Range,73.5
NIO EL6 Standard Range,73.5
NIO EL8 Standard Range,73.5
NIO ET7 Standard Range,73.5
NIO ET5 Standard Range,73.5
NIO EL7 Standard Range,73.5
Kia EV9 76.1 kWh RWD,73.0
Peugeot e-5008 73 kWh,73.0
Peugeot e-5008 73 kWh Dual Motor,73.0
Peugeot e-3008 73 kWh,73.0
Peugeot e-3008 73 kWh Dual Motor,73.0
Opel Grandland 73 kWh,73.0
Ford Mustang Mach-E SR AWD,72.6
Ford Mustang Mach-E SR RWD,72.6
KGM Torres EVX,72.0
BYD SEAL U 71.8 kWh Comfort,71.8
Zeekr 7X Premium RWD,71.0
Mercedes-Benz EQA 250+,70.5
Mercedes-Benz EQB 250+,70.5
Leapmotor C10,69.9
MG ZS EV Long Range,68.3
Citroen e-SpaceTourer M 75 kWh,68.0
Citroen e-SpaceTourer XL 75 kWh,68.0
Peugeot e-Traveller L2 75 kWh,68.0
Peugeot e-Traveller L3 75 kWh,68.0
Opel Zafira-e Life L2 75 kWh,68.0
Opel Zafira-e Life L3 75 kWh,68.0
Toyota PROACE Verso M 75 kWh,68.0
Toyota PROACE Verso L 75 kWh,68.0
Skywell BE11 Standard Range,68.0
BMW i4 eDrive35,67.1
Polestar 2 Standard Range Single Motor,67.0
Volvo EC40 Single Motor,67.0
Volvo EX40 Single Motor,67.0
Mercedes-Benz EQA 250,66.5
Mercedes-Benz EQA 300 4MATIC,66.5
Mercedes-Benz EQA 350 4MATIC,66.5
Mercedes-Benz EQB 300 4MATIC,66.5
Mercedes-Benz EQB 350 4MATIC,66.5
Mazda 6e,66.0
XPENG G6 RWD Standard Range,66.0
Lynk&Co 02,66.0
Hyundai Kona Electric 65 kWh,65.4
Kia Niro EV,64.8
BMW iX2 eDrive20,64.7
BMW iX1 xDrive30,64.7
BMW iX1 eDrive20,64.7
BMW iX2 xDrive30,64.7
Mini Countryman E,64.6
Mini Countryman SE ALL4,64.6
GWM ORA 07 Pure,64.3
GWM ORA 07 Pro,64.3
Toyota bZ4X FWD,64.0
Toyota bZ4X AWD,64.0
Subaru Solterra AWD,64.0
Volvo EX30 Cross Country,64.0
Ford e-Tourneo Custom L1 160 kW,64.0
Ford e-Tourneo Custom L1 210 kW,64.0
Ford e-Tourneo Custom L2 160 kW,64.0
Ford e-Tourneo Custom L2 210 kW,64.0
Volvo EX30 Single Motor ER,64.0
Volvo EX30 Twin Motor Performance,64.0
Lexus RZ 450e,64.0
Zeekr X Long Range RWD,64.0
Zeekr X Privilege AWD,64.0
Lexus UX 300e,64.0
Lexus RZ 300e,64.0
Nissan Ariya 63kWh,63.0
MG MGS5 EV 64 kWh,62.1
Smart #1 Premium,62.0
Smart #3 Premium,62.0
Smart #1 Pulse,62.0
Smart #1 Pro+,62.0
Smart #1 Pure+,62.0
Smart #3 Pro+,62.0
Smart #3 Brabus,62.0
Smart #1 Brabus,62.0
Honda e:Ny1,61.9
MG MG4 Electric XPOWER,61.7
MG MG4 Electric 64 kWh,61.7
BYD SEAL 61.4 kWh RWD Comfort,61.4
Omoda E5,61.0
BYD DOLPHIN 60.4 kWh,60.5
BYD ATTO 3,60.5
Renault Scenic E-Tech EV60 170hp,60.0
Tesla Model Y RWD,60.0
Renault Megane E-Tech EV60 130hp,60.0
Renault Megane E-Tech EV60 220hp,60.0
Mercedes-Benz EQV 250 Long,60.0
Mercedes-Benz EQV 250 Extra-Long,60.0
Mercedes-Benz eVito Tourer Long 60 kWh,60.0
Mercedes-Benz eVito Tourer Extra-Long 60 kWh,60.0
Aiways U5,60.0
Hyundai IONIQ 5 63 kWh RWD,60.0
Kia EV6 Standard Range 2WD,60.0
Aiways U6,60.0
GWM ORA 03 63 kWh,59.3
GWM ORA 03 GT,59.3
Skoda Enyaq 60,59.0
Skoda Enyaq Coupe 60,59.0
Volkswagen ID. Buzz NWB Pure,59.0
Audi Q4 e-tron 40,59.0
Audi Q4 Sportback e-tron 40,59.0
Volkswagen ID.3 Pro,59.0
CUPRA Born 170 kW - 59 kWh,59.0
Skoda Elroq 60,59.0
Peugeot e-408 58 kWh,58.2
Tesla Model 3,57.5
MG MG5 Electric Long Range,57.4
Kia EV4 Sedan Standard Range,55.0
Kia EV4 Hatchback Standard Range,55.0
Kia EV3 Standard Range,55.0
Volkswagen ID.5 Pure,52.0
Renault 4 E-Tech 52kWh 150hp,52.0
Renault 5 E-Tech 52kWh 150hp,52.0
Ford Explorer Standard Range RWD,52.0
Volkswagen ID.3 Pure,52.0
Ford Capri Standard Range RWD,52.0
Skoda Elroq 50,52.0
Alpine A290 Electric 180 hp,52.0
Alpine A290 Electric 220 hp,52.0
Volkswagen ID.4 Pure,52.0
Opel Astra Electric,50.8
Opel Astra Sports Tourer Electric,50.8
Jeep Avenger Electric,50.8
Alfa Romeo Junior Elettrica 54 kWh,50.8
Alfa Romeo Junior Elettrica 54 kWh Veloce,50.8
Citroen e-C4 X 54 kWh,50.8
Fiat 600e,50.8
Peugeot e-2008 54 kWh,50.8
MG MG4 Electric 51 kWh,50.8
Peugeot e-308,50.8
Peugeot e-308 SW,50.8
Citroen e-C4 54 kWh,50.8
Citroen e-C4 X 54 kWh,50.8
Opel Mokka Electric,50.8
Abarth 600e Turismo,50.8
Abarth 600e Scorpionissima,50.8
DS 3 E-Tense,50.8
Citroen e-Berlingo M 50 kWh,50.0
Citroen e-Berlingo XL 50 kWh,50.0
Opel Combo-e Life 50 kWh,50.0
Opel Combo-e Life XL 50 kWh,50.0
Peugeot e-Rifter M 50 kWh,50.0
Peugeot e-Rifter XL 50 kWh,50.0
Toyota Proace City Verso Electric L1 50 kWh,50.0
Toyota Proace City Verso Electric L2 50 kWh,50.0
Hyundai IONIQ 6 Standard Range 2WD,50.0
Mini Aceman SE,49.2
Mini Cooper SE,49.2
Mini Cooper JCW,49.2
Mini Aceman JCW,49.2
MG ZS EV Standard Range,49.0
Volvo EX30 Single Motor,49.0
Hyundai Kona Electric 48 kWh,48.4
Lancia Ypsilon,48.1
Opel Corsa Electric 51 kWh,48.1
Peugeot e-208 51 kWh,48.1
MG MGS5 EV 49 kWh,47.1
Smart #3 Pro,47.0
Smart #1 Pure,47.0
Smart #1 Pro,47.0
Opel Corsa Electric 50 kWh,46.3
Peugeot e-2008 50 kWh,46.3
Peugeot e-208 50 kWh,46.3
Citroen e-C4 X,46.3
Citroen e-SpaceTourer M 50 kWh,46.3
Citroen e-SpaceTourer XL 50 kWh,46.3
Peugeot e-Traveller L2 50 kWh,46.3
Peugeot e-Traveller L3 50 kWh,46.3
Opel Zafira-e Life L2 50 kWh,46.3
Opel Zafira-e Life L3 50 kWh,46.3
Toyota PROACE Verso M 50 kWh,46.3
Citroen e-C4,46.3
Citroen e-C4 X,46.3
MG MG5 Electric Standard Range,46.0
Hyundai INSTER Long Range,46.0
GWM ORA 03 48 kWh,45.4
BYD ATTO 2,45.1
Renault Kangoo E-Tech Electric,45.0
Nissan Townstar EV Passenger L2,45.0
Mercedes-Benz EQT 200 Standard,45.0
Mercedes-Benz EQT 200 Long,45.0
Nissan Townstar EV Passenger,45.0
Renault Kangoo Grand E-Tech Electric,45.0
BYD DOLPHIN 44.9 kWh Active,44.9
BYD DOLPHIN 44.9 kWh Boost,44.9
Citroen e-C3 Aircross,44.0
Opel Frontera 44 kWh,44.0
Citroen e-C3,44.0
Fiat Grande Panda,43.8
Ford Puma Gen-E,43.6
Ford e-Tourneo Courier,43.6
firefly firefly,41.2
Renault 4 E-Tech 40kWh 120hp,40.0
Renault 5 E-Tech 40kWh 95hp,40.0
Renault 5 E-Tech 40kWh 120hp,40.0
Dongfeng Box 42.3 kWh,40.0
Hyundai INSTER Standard Range,39.0
Mini Aceman E,38.5
Abarth 500e Hatchback,37.8
Abarth 500e Convertible,37.8
Fiat 500e Hatchback 42 kWh,37.3
Fiat 500e 3+1 42 kWh,37.3
Fiat 500e Cabrio 42 kWh,37.3
Mini Cooper E,36.6
Leapmotor T03,36.0
Dongfeng Box 31.4 kWh,29.0
Dacia Spring Electric 45,25.0
Dacia Spring Electric 65,25.0
Fiat 500e Hatchback 24 kWh,21.3
Fiat 500e 3+1 24 kWh,21.3
Fiat 500e Cabrio 24 kWh,21.3
