Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN ULP SEKAYU,"Jl. Kopral Hanafiah, Serasan Jaya, Kec. Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711",Buka 24 Jam,5.00,360.64 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 16:44:32
SPKLU PLN UP3 JAMBI,"Jl. Urip Sumoharjo No. 02, Telanaipura, Kota Jambi",Buka 24 Jam,4.92,246.57 km,4/4 Konektor Tersedia,"('22 kW', '60 kW', '60 kW', '22 kW')","(1, 1, 1, 1)",2025-05-14 16:37:55
SPKLU PLN ULP TELUK SEGARA,Jl. Prof Dr. Hazairin No. 8 Teluk Segara Bengkulu,Buka 24 Jam,5.00,377.47 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-14 16:44:47
SPKLU BANDARA CITY MALL,"Jl. Wijaya Kusuma 3 No. 21 Dadap, Kec. Kosambi, Kabupaten Tangerang, Banten",Buka 24 Jam,2.59,835.92 km,1/2 Konektor Tersedia,"('25 kW', '22 kW')","(0, 1)",2025-05-14 17:44:04
SPKLU Puri 11 Cluster Royal,"Puri 11 Cluster Royal, Pd. Bahar, Kota Tangerang, Banten",Buka 24 Jam,0.00,846.48 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 18:00:26
SPKLU Yaski (Heartline),"Jl. Permata Sari No. 1000, Binong, Kec. Curug, Kab. Tangerang, Banten",Buka 24 Jam,4.91,839.83 km,1/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 0)",2025-05-14 17:47:35
SPKLU HOTEL MERCURE BENGKULU,"Jl. S. Parman No.27, Padang Jati, Kec. Ratu Samban, Kota Bengkulu, Provinsi Bengkulu 38227",Buka 24 Jam,5.00,378.94 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 16:45:03
SPKLU PLN ULP MUARA ENIM,"Jl. Sultan Mahmud Badaruddin II, Kelurahan Air Lintang, Kec. Muara Enim, Kabupaten Muara Enim, Sumatera Selatan 31314",Buka 24 Jam,4.13,425.69 km,3/3 Konektor Tersedia,"('22 kW', '100 kW', '100 kW')","(1, 1, 1)",2025-05-14 16:48:10
SPKLU PLN ULP TAKENGON,"Jl. Lebe Kader No.89, Simpang Empat, Kec. Bebesen, Kabupaten Aceh Tengah, Aceh",Buka 24 Jam,4.00,778.51 km,1/1 Konektor Tersedia,"('25 kW',)","(1,)",2025-05-14 17:25:39
SPKLU PLN ULP SIANTAN,"Jl. Khatulistiwa, Siantan Hilir, Kec. Pontianak Utara, Kota Pontianak, Kalimantan Barat 78243",Buka 24 Jam,5.00,848.26 km,2/2 Konektor Tersedia,"('7 kW', '22 kW')","(1, 1)",2025-05-14 18:05:02
SPKLU PLN UP3 LANGSA,"Jl. Jend. Ahmad Yani No.6, Gp. Jawa, Langsa Kota, Aceh",Buka 24 Jam,4.50,682.89 km,3/3 Konektor Tersedia,"('22 kW', '100 kW', '100 kW')","(1, 1, 1)",2025-05-14 17:18:23
SPKLU Rest Area KM 45 Tol Merak - Tangerang,"Rest Area Merak-Jakarta Km. 45, Kp. Cigereng, Koper, Kec. Kresek, Kabupaten Tangerang, Banten 15620",Buka 24 Jam,4.10,823.51 km,1/1 Konektor Tersedia,"('25 kW',)","(1,)",2025-05-14 17:34:52
SPKLU KAMPUS UNAND 2 PYK,"Jl. Rangkayo Rasuna Said, Kubu Gadang, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 26218",Buka 24 Jam,5.00,121.58 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-14 16:23:36
SPKLU PLN ULP STABAT,"Jl. Proklamasi, Kwala Bingai, Kec. Stabat, Kabupaten Langkat, Sumatera Utara 20811",Buka 24 Jam,5.00,586.92 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 17:11:28
SPKLU GOR PLN A.YANI,"Jl. Jenderal Ahmad Yani, Benua Melayu Darat, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78121",Buka 24 Jam,4.33,849.51 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 18:09:56
