Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU KANTOR GUBERNUR BABEL,"Jl. Pulau Bangka, Air Itam, Kec. Bukitintan, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684",Buka 24 Jam,5.00,578.22 km,1/1 Konektor Tersedia,(),(),2025-05-15 21:58:58
SPKLU Rest Area KM 215 B Tol Terpeka,"Rest Area KM 208 A Tol Terpeka, Bakauheni - Kayu Agung Rd, Mulya Sari, Gunung Agung, West Tulang Bawang Regency, Lampung 34684",Buka 24 Jam,4.25,611.72 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 22:00:06
SPKLU BANDARA SMB II PALEMBANG,"Jl. Bandara Sultan Mahmud Badaruddin II, Talang Betutu, Kec. Sukarami, Kota Palembang",Buka 24 Jam,4.52,475.93 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 21:41:25
SPKLU PLN ULP UJUNG BATU,"Jl. Raya Ujung Batu - Bonai Darussalam, Ngaso, Kec. Ujung Batu, Kabupaten Rokan Hulu, Riau",Buka 24 Jam,5.00,139.68 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:21:18
SPKLU WISMA PLN BUKITTINGGI,"Jl. Ahmad Karim No.16, Benteng Ps. Atas, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26136",Buka 24 Jam,4.88,104.31 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:14:27
SPKLU PLN ULP PERAWANG,"Jl. Moh. Ali, Perawang Bar., Kec. Tualang, Kabupaten Siak, Riau",Buka 24 Jam,0.00,109.74 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-15 21:15:34
SPKLU PLN ULP TELANAI PURA,"Jalan Kol. Amir Hamza Lrg. Selamat, Telanaipura, Jambi, Provinsi Jambi 36124",Buka 24 Jam,0.00,293.94 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:29:53
SPKLU PLN ULP TELUK SEGARA,Jl. Prof Dr. Hazairin No. 8 Teluk Segara Bengkulu,Buka 24 Jam,5.00,402.04 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-15 21:35:41
SPKLU PLN GRAND MERCURE MEDAN,"Jl. Sutomo No.1, Perintis, Kec. Medan Tim., Kota Medan, Sumatera Utara 20235",Buka 24 Jam,5.00,518.92 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:52:07
SPKLU Rest Area 163-A Lampung Tengah,SPKLU Rest Area 163-A Lampung Tengah,Buka 24 Jam,4.82,650.72 km,4/4 Konektor Tersedia,"('22 kW', '22 kW', '60 kW', '60 kW')","(1, 1, 1, 1)",2025-05-15 22:02:38
SPKLU Rest Area KM 36 A Pekanbaru - Bangkinang,"Jl. Tol Pekanbaru - Bangkinang KM 36 A, Muara Jalai, Kec. Bangkinang, Kabupaten Kampar, Riau 21184",Buka 24 Jam,4.50,81.89 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 21:10:15
SPKLU PLN REST AREA KM 65B,"Tanah Raja, Kec. Sei Rampah, Kabupaten Serdang Bedagai, Sumatera Utara 20986",Buka 24 Jam,5.00,489.59 km,2/2 Konektor Tersedia,"('100 kW', '100 kW')","(1, 1)",2025-05-15 21:45:13
SPKLU MALL BOEMI KEDATON,"Jl. Teuku Umar No.1, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132",Buka 24 Jam,3.63,714.90 km,2/2 Konektor Tersedia,"('25 kW', '22 kW')","(1, 1)",2025-05-15 22:05:29
SPKLU PLN ULP PANTON LABU,"Kota Panton Labu, Tanah Jambo Aye, Kabupaten Aceh Utara, Aceh 24394",Buka 24 Jam,5.00,734.33 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 22:07:59
SPKLU PLN ULP PANGKALAN BRANDAN,"Brandan Tim. Baru, Kec. Babalan, Kabupaten Langkat, Sumatera Utara 20881",Buka 24 Jam,4.00,582.14 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:59:14
SPKLU HOTEL MARRIOTT RESORT LAMPUNG,"Jl. Pantai Mutun, Hurun, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung",Buka 24 Jam,1.67,727.13 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-15 22:07:23
SPKLU PLN ULP PANGKALAN BALAI,"Pangkalan Balai, Banyuasin III, Kab. Banyuasin, Sumatera Selatan",Buka 24 Jam,3.50,449.89 km,1/1 Konektor Tersedia,(),(),2025-05-15 21:39:23
SPKLU PLN CAMBRIDGE CITY SQUARE MEDAN,"Jl. S. Parman No.217, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20152",Buka 24 Jam,4.72,518.59 km,2/2 Konektor Tersedia,"('100 kW', '100 kW')","(1, 1)",2025-05-15 21:51:13
SPKLU MASJID RAYA NAYLUS SYAADAH,"Jl. Adinegoro Km. 12, Batang Kabung, Koto Tangah, Batang Kabung Ganting, Padang, Kota Padang, Sumatera Barat 25586",Buka 24 Jam,5.00,125.02 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:17:42
SPKLU PLN ULP LIPAT KAIN,"Lipat Kain, Kec. Kampar Kiri, Kabupaten Kampar, Riau 28471",Buka 24 Jam,5.00,35.86 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:05:35
SPKLU PLN ULP PANAM,Jl. HR Soebrantas No Km Rw 12 Simpang Baru.Kecamatan Tampan Kota Pekanbaru Riau,Buka 24 Jam,0.00,82.88 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:10:40
SPKLU PLN Universitas Negeri Padang,"Padang, Air Tawar Bar., Kec. Padang Utara, Kota Padang, Sumatera Barat 25173",Buka 24 Jam,5.00,126.31 km,1/1 Konektor Tersedia,(),(),2025-05-15 21:17:54
SPKLU PLN ULP MUARA ENIM,"Jl. Sultan Mahmud Badaruddin II, Kelurahan Air Lintang, Kec. Muara Enim, Kabupaten Muara Enim, Sumatera Selatan 31314",Buka 24 Jam,4.18,464.19 km,3/3 Konektor Tersedia,"('22 kW', '100 kW', '100 kW')","(1, 1, 1)",2025-05-15 21:40:12
SPKLU PLN ULP STABAT,"Jl. Proklamasi, Kwala Bingai, Kec. Stabat, Kabupaten Langkat, Sumatera Utara 20811",Buka 24 Jam,5.00,547.14 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-15 21:55:22
SPKLU PLN ULP INDARUNG,"Jl. Padang - Bengkulu, Batung Taba Nan XX, Kec. Lubuk Begalung, Kota Padang, Sumatera Barat 25154",Buka 24 Jam,5.00,126.69 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:19:04
SPKLU TRANSMART PANGKALPINANG,"Jl. Jendral Sudirman No.8, Taman Bunga, Kec. Gerunggang, Kota Pangkal Pinang, Kepulauan Bangka Belitung",Buka 24 Jam,4.00,572.04 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-15 21:57:37
SPKLU PLN ULP SICINCIN,"Jl. Raya Padang - Bukittinggi Utara PLN No.km.46, Sicincin, Kec. Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat",Buka 24 Jam,5.00,118.85 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:16:34
SPKLU PLN ULP AIR MOLEK,"Jl Sultan Ibrahim, Candirejo, Kec. Pasir Penyu, Kabupaten Indragiri Hulu, Riau",Buka 24 Jam,5.00,110.03 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-15 21:15:45
SPKLU Rest Area KM 87 A Tol Bakauheni-Terbanggi Besar,"Rest Area KM 87 A Tol Bakauheni-Terbanggi Besar, Fajar Baru, Kec. Jati Agung, Kabupaten Lampung Selatan, Lampung",Buka 24 Jam,4.94,710.03 km,1/3 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 22:04:29
SPKLU PLN ULP BATUSANGKAR,"Jl. Ps. Papan, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27212",Buka 24 Jam,5.00,81.47 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:09:22
SPKLU PLN WARONG ESSY,"Sungai Rumbai Tim., Kec. Sungai Rumbai, Kabupaten Dharmasraya, Sumatera Barat 27684",Buka 24 Jam,0.00,114.59 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:16:12
SPKLU LA PIT STOP CAR WASH,"Jl. Raya Padang - Bukittinggi, Lubuk Alung, Kec. Lubuk Alung, Kabupaten Padang Pariaman, Sumatera Barat 25582",Buka 24 Jam,5.00,121.34 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:16:49
SPKLU PLN ULP GEBANG,"Jl. Medan Banda Aceh 67, Pekan Gebang, Kec. Gebang, Kabupaten Langkat, Sumatera Utara 20857",Buka 24 Jam,5.00,573.26 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:58:03
SPKLU HOTEL EMERALD MEDAN,"Jl. KL. Yos Sudarso No.1, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 20235",Buka 24 Jam,5.00,519.89 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:52:22
SPKLU PLN ULP PENDOPO,"Jalan Merdeka Talang Ubi Selatan Pendopo, Kab. Penukal Abab Lematang Ilir, Sumatera Selatan 31212",Buka 24 Jam,0.00,435.34 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:37:53
SPKLU TRANSMART PALEMBANG CITY CENTRE,"Jl. Radial, 26 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30127",Buka 24 Jam,5.00,485.53 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:43:56
SPKLU SKAY WAY COFFEE,"Jl. Raya Bukittinggi - Payakumbuh No.233, Pakan Sinayan, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26224",Buka 24 Jam,5.00,73.95 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:07:30
SPKLU LAMPUNG CITY MALL,"Jl. Yos Sudarso No.80, Bumi Waras, Kec. Bumi Waras, Kota Bandar Lampung",Buka 24 Jam,4.82,721.70 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-15 22:07:04
SPKLU PLN ULP TANJUNG BALAI,"Jl. Jendral Sudirman, Tj. Balai Kota I, Tanjungbalai Selatan, Kota Tanjung Balai, Sumatera Utara 21334",Buka 24 Jam,1.00,395.57 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:35:09
SPKLU Rest Area KM 172-B Tulang Bawang Barat,"Rest Area KM 172-B Tulang Bawang Barat, Lampung",Buka 24 Jam,4.44,643.57 km,4/4 Konektor Tersedia,"('22 kW', '50 kW', '50 kW', '22 kW')","(1, 1, 1, 1)",2025-05-15 22:02:04
SPKLU PLN KANTOR JAGA PAYUNG,"Jl. Ahmad Yani, Payung, Bangka Selatan, Kepulauan Bangka Belitung 33778",Buka 24 Jam,0.00,596.67 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:59:24
SPKLU REST AREA KM 116 B LAMPUNG TENGAH,"SPKLU Rest Area km 116 B, Bumi Ratu Nuban, Lampung Tengah",Buka 24 Jam,4.66,686.58 km,3/3 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 22:03:26
SPKLU PLN ULP BELANTI,"Jl. Khatib Sulaiman No.46, Ulak Karang Selatan, Kec. Padang Utara, Kota Padang, Sumatera Barat 25173",Buka 24 Jam,4.88,126.49 km,1/1 Konektor Tersedia,"('4 kW',)","(1,)",2025-05-15 21:18:20
SPKLU PLN ULP TALUK KUANTAN,"Ps. Taluk, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566",Buka 24 Jam,4.85,40.39 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 21:05:45
SPKLU PLN ULP KOTANOPAN,"Jl. Lintas Medan, Padang Bulan, Kec. Kotanopan, Kabupaten Mandailing Natal, Sumatera Utara 22994",Buka 24 Jam,5.00,204.26 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:25:35
SPKLU TANG AIA CAFE & RESTO,"Jl. Lintas Sumatera Tengah Nagari Kunangan Parit Rantang, Kamang Baru, Kabupaten Sijunjung, Sumatera Barat",Buka 24 Jam,5.00,66.02 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:06:31
SPKLU PLN ULP KOTABARU,"‎‎Jl‎.  ‎Nuri Jelutung‎, ‎Kota Jambi‎, ‎36133‎",Buka 24 Jam,4.00,296.27 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:30:59
SPKLU PLN UP3 PADANG,"Jl. S. Parman No.221, Ulak Karang Utara, Kec. Padang Utara, Kota Padang, Sumatera Barat",Buka 24 Jam,5.00,126.77 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:19:15
SPKLU Kantor Gubernur Provinsi Riau,"Jl. Jend. Sudirman No.460, Jadirejo, Kec. Sukajadi, Kota Pekanbaru, Riau 28121",Buka 24 Jam,4.48,89.69 km,2/2 Konektor Tersedia,"('A CCS2', 'B CCS2')","(1, 1)",2025-05-15 21:12:30
SPKLU PLN HOME SMART MEDAN,"Jl. Gatot Subroto No.102, Sei Putih Bar., Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118",Buka 24 Jam,4.75,520.08 km,1/1 Konektor Tersedia,"('25 kW',)","(1,)",2025-05-15 21:52:37
SPKLU PLN ULP MUARA LABUH,"Jalan Batang Lawe, Muara Labuh, Pasir Talang Bar., Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",Buka 24 Jam,0.00,135.09 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:20:27
SPKLU PLN UP3 SIBOLGA,"Jl. Dr. Ferdinand Lumban Tobing No.20, Huta Tonga Tonga, Kec. Sibolga Utara, Kota Sibolga, Sumatera Utara 22512",Buka 24 Jam,5.00,359.50 km,2/2 Konektor Tersedia,(),(),2025-05-15 21:32:30
SPKLU PLN UIW SUMBAR,"Jl. Dr. Wahidin No. 8 Sawahan, Kota Padang, Sumatera Barat",Buka 24 Jam,4.91,127.21 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-15 21:19:39
SPKLU PLN ULP SELAT PANJANG,"Jl.Yos sudarso., Kec. Tebing Tinggi, Kabupaten Kepulauan Meranti, Riau",Buka 24 Jam,0.00,212.26 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:26:27
SPKLU PLN KP PANTI,"Jl lintas Panti, Panti, Kabupaten Pasaman, Sumatera Barat 26352",Buka 24 Jam,0.00,157.39 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:23:00
SPKLU PLN ULP KUALA SIMPANG,"Jl. Ir. H. Juanda Dalam, Dalam, Karang Baru, Kabupaten Aceh Tamiang, Aceh",Buka 24 Jam,5.00,621.66 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 22:00:58
SPKLU PLN ZILA CAFE,"Jl. Padang - Alahan Panjang, Simpang Tj. Nan IV, Kec. Danau Kembar, Kabupaten Solok, Sumatera Barat 27383",Buka 24 Jam,5.00,105.40 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:14:53
SPKLU PLN ULP SUNGAILIAT,Jl.Jend A Yani jalur 2 Sungailiat Kab Bangka,Buka 24 Jam,5.00,563.40 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:56:04
SPKLU Rest Area KM 36 B Bangkinang - Pekanbaru,"Jl. Tol Pekanbaru - Bangkinang KM 36 B, Muara Jalai, Kec. Bangkinang, Kabupaten Kampar, Riau 21184",Buka 24 Jam,1.00,81.74 km,0/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(0, 0, 0)",2025-05-15 21:09:32
SPKLU PLN ULP Tebing Tinggi,"Jl. Jend. Sudirman No.287, Badak Bejuang, Tebing Tinggi Kota, Sumatera Utara",Buka 24 Jam,4.70,465.75 km,5/5 Konektor Tersedia,"('22 kW', '25 kW', '25 kW', '50 kW', '50 kW')","(1, 1, 1, 1, 1)",2025-05-15 21:40:30
SPKLU MASJID PLN UID S2JB,Jalan Kapten A. Rivai No. 37 Palembang,Buka 24 Jam,0.00,485.47 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-15 21:43:30
SPKLU SUMUT SPORT CENTRE ASTAKA,"Jl. Williem Iskandar No.9, Kenangan Baru, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371",Buka 24 Jam,4.56,518.28 km,2/2 Konektor Tersedia,"('25 kW', '22 kW')","(1, 1)",2025-05-15 21:50:38
SPKLU PLN ULP MUKOMUKO,"Jl. R.A. Kartini No.8, Pd. Batu, Kec. Kota Mukomuko, Kabupaten Mukomuko, Bengkulu",Buka 24 Jam,0.00,254.66 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:28:01
SPKLU PLN ULP AEK KANOPAN,"Aek Kanopan Tim., Kec. Kualuh Hulu, Kabupaten Labuhanbatu Utara, Sumatera Utara 21273",Buka 24 Jam,5.00,364.64 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:32:56
SPKLU REST AREA 56A TOL Palembang - Prabumulih,"Ruas TOL Palembang - Prabumulih, Kabupaten Ogan Ilir, Sumatera Selatan",Buka 24 Jam,4.88,495.17 km,3/3 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:46:55
SPKLU PLN UPK Bangka Belitung,Jl. Lintas Timur Desa Air Anyir Kec. Merawang Kabupaten Bangka Prov. Kep. Bangka Belitung,Buka 24 Jam,5.00,574.52 km,1/1 Konektor Tersedia,"('25 kW',)","(1,)",2025-05-15 21:58:30
SPKLU KANTOR UP3 METRO,"Jl. Letjend Alamsyah Ratu Prawira Negara, Metro, Kec. Metro Pusat, Kota Metro, Lampung 34124",Buka 24 Jam,5.00,696.57 km,0/2 Konektor Tersedia,"('50 kW', '50 kW')","(0, 0)",2025-05-15 22:03:51
PLN Kantor Jaga Belinyu,"Kuto Panji, Kec Belinyu (Kantor Jaga Belinyu) Kabupaten Bangka, Kepulauan Bangka Belitung",Buka 24 Jam,4.33,521.90 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:53:45
SPKLU PLN UP3 BANGKA,"Jl. Jendral Sudirman No.180, Selindung Baru, Kec. Gabek, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33172",Buka 24 Jam,5.00,571.43 km,2/2 Konektor Tersedia,"('100 kW', '100 kW')","(1, 1)",2025-05-15 21:57:06
SPKLU PLN ULP MUARA DUA,"Jl. Ahmad Yani No.102, Bumi Agung, Kec. Muara Dua, Kabupaten Ogan Komering Ulu Selatan, Sumatera Selatan 32211",Buka 24 Jam,0.00,562.81 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:55:48
SPKLU IBI DARMAJAYA,"Jl. ZA. Pagar Alam No.93, Gedong Meneng, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35141",Buka 24 Jam,4.00,713.89 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 22:05:09
SPKLU REST AREA KM 67 B Tol Bakauheni-Terbanggi Besar,"SPKLU REST AREA KM 67 B Tol Bakauheni-Terbanggi Besar,Serdang, Kec. Tj. Bintang, Kabupaten Lampung Selatan, Lampung 35361",Buka 24 Jam,0.00,728.25 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 22:07:33
SPKLU PLN ULP LUBUK BASUNG,"Lubuk Basung, Kec. Lubuk Basung, Kabupaten Agam, Sumatera Barat 26452",Buka 24 Jam,0.00,141.67 km,1/1 Konektor Tersedia,(),(),2025-05-15 21:21:56
SPKLU PLN UP3 PADANGSIDIMPUAN,"Jl. Raja Inal Siregar No.11A, Batunadua Jae, Kec. Padangsidimpuan Batunadua, Kota Padang Sidempuan, Sumatera Utara 22733",Buka 24 Jam,5.00,292.59 km,2/2 Konektor Tersedia,"('30 kW', '22 kW')","(1, 1)",2025-05-15 21:29:23
SPKLU PLN UP3 TANJUNGPINANG,"Jalan Bakar Batu, Kelurahan Kemboja, Kecamatan Tanjung Pinang Barat Kota Tanjungpinang Provinsi Kepulauan Riau",Buka 24 Jam,4.64,374.35 km,2/2 Konektor Tersedia,"('22 kW', '4 kW')","(1, 1)",2025-05-15 21:33:25
SPKLU PLN ULP TOBOALI,"Jl. Puput No. 001 Toboali, Kabupaten Bangka Selatan, Kepulauan Bangka Belitung 33783",Buka 24 Jam,5.00,648.91 km,3/3 Konektor Tersedia,"('22 kW', '50 kW', '50 kW')","(1, 1, 1)",2025-05-15 22:02:17
SPKLU PLN ULP MEDAN TIMUR,"Jl. Durung, Sidorejo Hilir, Kec. Medan Tembung, Kota Medan, Sumatera Utara 20222",Buka 24 Jam,4.79,518.73 km,2/2 Konektor Tersedia,(),(),2025-05-15 21:51:40
SPKLU KORDA ALUE BILIE,"Desa Tuwi Buya, Kec. Darul Makmur, Kabupaten Nagan Raya, Aceh 23662",Buka 24 Jam,0.00,711.77 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-15 22:04:59
SPKLU PLN MUARA KIAWAI,"JL.MUARA KIAWAI, Gunung Tuleh, West Pasaman Regency, West Sumatra 26571",Buka 24 Jam,0.00,183.43 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:24:59
SPKLU PLN ULP MENTOK,"JL. Jenderan Basuki Rachmat, Air Belo, Mentok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung 33351",Buka 24 Jam,5.00,472.60 km,3/3 Konektor Tersedia,"('7 kW', '100 kW', '100 kW')","(1, 1, 1)",2025-05-15 21:41:00
SPKLU PLN ULP Muratara,"Lawang Agung, Kec. Rupit, Kab. Musi Rawas Utara, Sumatera Selatan",Buka 24 Jam,0.00,319.92 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:31:41
SPKLU THE TRADERS MEDAN,"Jl. Kapten Patimura No.423, Darat, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153",Buka 24 Jam,5.00,517.83 km,1/1 Konektor Tersedia,(),(),2025-05-15 21:49:47
SPKLU PLN UP3 MUARA BUNGO,"Jalan Sultan Thaha No. 771  Bungo Barat, Kec. Ps. Muara Bungo, Kabupaten Bungo, Jambi",Buka 24 Jam,5.00,160.97 km,3/3 Konektor Tersedia,"('7 kW', '120 kW', '120 kW')","(1, 1, 1)",2025-05-15 21:23:14
SPKLU PLN KIT SBS,"Jl. Demang Lebar Daun No.375, Palembang, Sumatera Selatan",Buka 24 Jam,5.00,483.38 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-15 21:42:18
SPKLU PLN ULP MUARA SABAK,"Jl‎. ‎Sultan Thaha‎, ‎Tanjung Jabung Timur‎, ‎36761‎",Buka 24 Jam,0.00,295.65 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:30:34
SPKLU OPI MALL,"Jalan Gubernur H.A.Bastari, Sungai Kedukan, Kec. Rambutan Kab. Banyu Asin Provinsi Sumsel",Buka 24 Jam,5.00,493.09 km,2/2 Konektor Tersedia,"('22 kW', '30 kW')","(1, 1)",2025-05-15 21:45:53
Rest Area KM 277 Terpeka,Rest Area Km. 277  Jalan Tol  Bakauhuni - Kayu Agung,Buka 24 Jam,3.67,566.20 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 21:56:30
SPKLU KANTOR DINAS ESDM,"Jl. Angkatan 45 No.2440, Palembang, Sumatera Selatan",Buka 24 Jam,0.00,484.80 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-15 21:43:01
SPKLU PLN ULP Bagan Siapi Api,"Jl. Pahlawan, Bagan Tim., Kec. Bangko, Kabupaten Rokan Hilir",Buka 24 Jam,0.00,275.38 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-15 21:28:37
