Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU REST AREA KM 49 B Tol Bakauheni-Terbanggi Besar,"Jl. Tol Bakauheni - Terbanggi Besar, Karya Mulya Sari, Kec. Candipuro, Kabupaten Lampung Selatan, Lampung 35356",Buka 24 Jam,4.69,744.69 km,3/3 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:44:36
SPKLU PLN ULP KUTACANE,"Jl. Perapat Hulu, Babussalam, Aceh Tenggara, Aceh 24651",Buka 24 Jam,0.0,569.36 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:31:53
SPKLU PLN RS SITI RAHMAH,"Jl. By Pass No.KM.15, Aie Pacah, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586",Buka 24 Jam,0.0,121.62 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 15:51:22
SPKLU PLN ULP TAIS,"Lubuk Kebur, Kec.Seluma, Kab.Seluma, Bengkulu 38878",Buka 24 Jam,5.0,442.70 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:13:12
SPKLU PLN ULP PADANG PANJANG,"Padang Panjang, Silaing Bawah, Kec. Padang Panjang Bar., Kota Padang Panjang, Sumatera Barat 27118",Buka 24 Jam,5.0,103.83 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 15:48:26
SPKLU PLN ULP IDI,"JL. Medan - Banda Aceh, Gp. Tanoh Anou, Kab. Aceh Timur, Idi Rayeuk, Aceh, 24454",Buka 24 Jam,5.0,698.52 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:39:24
SPKLU UP3 Meulaboh,"Jl. Swadaya, Drien Rampak, Kec. Johan Pahlawan, Kab. Aceh Barat, Aceh, 23611",Buka 24 Jam,5.0,756.20 km,2/2 Konektor Tersedia,"('50 kW', '50 kW')","(1, 1)",2025-05-15 16:45:59
SPKLU PLN HOME SMART MEDAN,"Jl. Gatot Subroto No.102, Sei Putih Bar., Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118",Buka 24 Jam,4.75,520.11 km,1/1 Konektor Tersedia,"('25 kW',)","(1,)",2025-05-15 16:27:17
SPKLU PLN GRAND MERCURE MEDAN,"Jl. Sutomo No.1, Perintis, Kec. Medan Tim., Kota Medan, Sumatera Utara 20235",Buka 24 Jam,5.0,518.94 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:26:45
SPKLU PLN KIT SBS,"Jl. Demang Lebar Daun No.375, Palembang, Sumatera Selatan",Buka 24 Jam,5.0,483.36 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-15 16:16:32
SPKLU PLN ULP GEBANG,"Jl. Medan Banda Aceh 67, Pekan Gebang, Kec. Gebang, Kabupaten Langkat, Sumatera Utara 20857",Buka 24 Jam,5.0,573.28 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:33:15
"SPKLU REST AREA KM-87B NATAR, LAMPUNG SELATAN","Rest Area KM 87B Natar, Lampung Selatan, Lampung",Buka 24 Jam,3.69,709.76 km,3/3 Konektor Tersedia,"('A CCS2', 'B CCS2', '4 kW')","(1, 1, 1)",2025-05-15 16:39:44
SPKLU PLN UP3 PEMATANGSIANTAR,"Jl. Kapten M.H. Sitorus No.1, Proklamasi, Kec. Siantar Bar., Kota Pematang Siantar, Sumatera Utara 21117",Buka 24 Jam,4.76,436.99 km,4/4 Konektor Tersedia,"('30 kW', '30 kW', '100 kW', '100 kW')","(1, 1, 1, 1)",2025-05-15 16:12:46
SPKLU PLN ULP RANTAUPRAPAT KOTA,"Jl. Lintas Sumatra, Rantauprapat, Kec. Rantau Utara, Kab. Labuhanbatu, Sumatera Utara",Buka 24 Jam,4.59,311.28 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-15 16:05:25
SPKLU PLN UID SUMATERA UTARA,"Jl. KL. Yos Sudarso Gg. VIII No.1d, Glugur Kota, Kec. Medan Baru, Kota Medan, Sumatera Utara 20238",Buka 24 Jam,4.67,521.11 km,3/3 Konektor Tersedia,"('A CCS2', 'B CCS2', '22 kW')","(1, 1, 1)",2025-05-15 16:28:06
SPKLU PLN CAMBRIDGE CITY SQUARE MEDAN,"Jl. S. Parman No.217, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20152",Buka 24 Jam,4.72,518.62 km,2/2 Konektor Tersedia,"('100 kW', '100 kW')","(1, 1)",2025-05-15 16:25:44
SPKLU PLN ULP SINABANG,"Suka Karya, Simeulue Timur, Simeulue Regency, Aceh 24782",Buka 24 Jam,0.0,628.27 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:36:31
SPKLU PLN ULP TALUK KUANTAN,"Ps. Taluk, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566",Buka 24 Jam,4.85,40.37 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 15:39:42
SPKLU PLN ULP MUARA ENIM,"Jl. Sultan Mahmud Badaruddin II, Kelurahan Air Lintang, Kec. Muara Enim, Kabupaten Muara Enim, Sumatera Selatan 31314",Buka 24 Jam,4.18,464.16 km,3/3 Konektor Tersedia,"('22 kW', '100 kW', '100 kW')","(1, 1, 1)",2025-05-15 16:14:26
SPKLU Rest Area KM 45 A Pekanbaru - Dumai,"Jl. Tol Pekanbaru - Dumai KM 45 A, Kandis, Kec. Kandis, Kabupaten Siak, Riau 26868",Buka 24 Jam,4.95,135.03 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 15:54:37
SPKLU PLN ULP NUSA INDAH,"Jl. Pangeran Natadirja No.65, Jl. Gedang, Kec. Gading Cempaka, Kota Bengkulu, Bengkulu 38225",Buka 24 Jam,0.0,406.79 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:10:44
SPKLU SANTIKA MEDAN,"Jl. Kapten Maulana Lubis No.7, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111",Buka 24 Jam,1.0,518.71 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:26:00
SPKLU POSKO YANTEK BELILAS,"Jln Lintas Sumatera, Pangkalan Kasai, Kabupaten Indragiri Hulu, Riau",Buka 24 Jam,5.0,126.79 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-15 15:53:45
PLN UPDK JAMBI,"‎‎Jl. Dokter Setia Budi ,Rajawali, Kec. Jambi Tim., Kota Jambi, Jambi 36143",Buka 24 Jam,0.0,295.63 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 16:04:12
