Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU SARUNI JAYA SWALAYAN,"Jl. Raya Labuan - Pandeglang, Saruni, Kec. Majasari Kabupaten Pandeglang, Banten",Buka 24 Jam,5.00,854.52 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 14:34:34
SPKLU PLN ULP RANTAUPRAPAT KOTA,"Jl. Lintas Sumatra, Rantauprapat, Kec. Rantau Utara, Kab. Labuhanbatu, Sumatera Utara",Buka 24 Jam,4.59,310.70 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-17 13:43:43
SPKLU Kawasan Pusat Pemerintahan Provinsi Banten (KP3B),Kawasan Pusat Pemerintahan Provinsi Banten (KP3B),Buka 24 Jam,4.36,846.26 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-17 14:33:14
SPKLU TANG AIA CAFE & RESTO,"Jl. Lintas Sumatera Tengah Nagari Kunangan Parit Rantang, Kamang Baru, Kabupaten Sijunjung, Sumatera Barat",Buka 24 Jam,5.00,66.67 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-17 13:18:42
SPKLU PLN KTR WALI KOTA PADANG PANJANG,"Silaing Bawah, Kota Padang Panjang, Sumatera Barat",Buka 24 Jam,4.83,103.91 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-17 13:26:27
SPKLU PLN ULP TANJUNG BALAI,"Jl. Jendral Sudirman, Tj. Balai Kota I, Tanjungbalai Selatan, Kota Tanjung Balai, Sumatera Utara 21334",Buka 24 Jam,1.00,394.98 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 13:47:28
SPKLU PLN ULP KUTACANE,"Jl. Perapat Hulu, Babussalam, Aceh Tenggara, Aceh 24651",Buka 24 Jam,0.00,568.86 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 14:09:45
SPKLU PLN KP RIMBO DATA,"Tanjuang Balik, Kec. Pangkalan Koto Baru, Kabupaten Lima Puluh Kota, Sumatera Barat 26272",Buka 24 Jam,0.00,78.47 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 13:21:30
SPKLU PLN KP BONJOL,"Jalan Trans Sumatera Bukittinggi - Padang Sidempuan No. 93, Ganggo Hilia, Bonjol, Ganggo Mudiak, Kec. Bonjol, Kabupaten Pasaman, Sumatera Barat 26381",Buka 24 Jam,0.00,124.29 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 13:29:54
SPKLU PLN ULP SAWAHLUNTO,"Jl. Khatib Sulaiman, Santur, Kec. Barangin, Kota Sawahlunto, Sumatera Barat 27355",Buka 24 Jam,5.00,74.50 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 13:20:17
