Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN ULP TEMBILAHAN,"Jl. Gn. Daek, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau",Buka 24 Jam,4.83,160.18 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-17 11:31:08
SPKLU PLN ULP LIPAT KAIN,"Lipat Kain, Kec. Kampar Kiri, Kabupaten Kampar, Riau 28471",Buka 24 Jam,5.00,75.50 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:17:41
SPKLU HOTEL SANTIKA LAHAT,"Jl. Lubuk Beringin No.138, Kel.Manggul, Kec. Lahat, Kabupaten Lahat, Sumatera Selatan",Buka 24 Jam,5.00,424.47 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:48:55
SPKLU PLN UP3 MUARA BUNGO,"Jalan Sultan Thaha No. 771  Bungo Barat, Kec. Ps. Muara Bungo, Kabupaten Bungo, Jambi",Buka 24 Jam,5.00,126.03 km,3/3 Konektor Tersedia,"('7 kW', '120 kW', '120 kW')","(1, 1, 1)",2025-05-17 11:27:16
SPKLU Hotel Prime Park,"Jl. Jendral Sudirman No 3, Simpang Tiga, Kota Pekanbaru, Riau",Buka 24 Jam,0.00,103.06 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:20:19
SPKLU Rest Area KM 36 A Pekanbaru - Bangkinang,"Jl. Tol Pekanbaru - Bangkinang KM 36 A, Muara Jalai, Kec. Bangkinang, Kabupaten Kampar, Riau 21184",Buka 24 Jam,4.50,118.40 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(0, 0, 0)",2025-05-17 11:23:32
SPKLU PONGEK OR,"Jl. Khatib Sulaiman, Limbukan, Kec. Payakumbuh Sel., Kota Payakumbuh, Sumatera Barat 26225",Buka 24 Jam,5.00,123.81 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:26:04
SPKLU PLN KP RAO,"Jl. Kp. Jawa, Taruang Taruang, Kec. Rao, Kabupaten Pasaman, Sumatera Barat 26353",Buka 24 Jam,5.00,218.11 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:37:52
SPKLU PLN ULP MUARA BELITI,"Desa Muara Beliti Baru, Muara Beliti, Kab.Musi Rawas  Sumsel  31661",Buka 24 Jam,0.00,343.96 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:45:09
SPKLU PLN ULP SICINCIN,"Jl. Raya Padang - Bukittinggi Utara PLN No.km.46, Sicincin, Kec. Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat",Buka 24 Jam,5.00,160.97 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:32:09
SPKLU PLN ULP MUKOMUKO,"Jl. R.A. Kartini No.8, Pd. Batu, Kec. Kota Mukomuko, Kabupaten Mukomuko, Bengkulu",Buka 24 Jam,0.00,247.57 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:40:06
SPKLU PLN ULP TELUK SEGARA,Jl. Prof Dr. Hazairin No. 8 Teluk Segara Bengkulu,Buka 24 Jam,5.00,377.47 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-17 11:46:00
SPKLU PLN ULP Muratara,"Lawang Agung, Kec. Rupit, Kab. Musi Rawas Utara, Sumatera Selatan",Buka 24 Jam,0.00,283.30 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:42:17
SPKLU PLN ULP KURANJI,"Jl. By Pass, Sungai Sapih, Kec. Kuranji, Kota Padang, Sumatera Barat 25586",Buka 24 Jam,5.00,156.21 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:30:16
SPKLU PLN ULP DURI,"Jl. Hangtuah, Air Jamban, Kec. Mandau, Kabupaten Bengkalis, Riau",Buka 24 Jam,4.90,197.07 km,1/1 Konektor Tersedia,(),(),2025-05-17 11:36:27
SPKLU KAMPUNG EROPA HARAU,"Tarantang, Harau, Lima Puluh Kota Regency, West Sumatra 26271",Buka 24 Jam,5.00,121.57 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:25:02
SPKLU PLN ULP SUNGAI PENUH,"Jl. RE Martadinata No.1 Kota Sungai Penuh, Jambi",Buka 24 Jam,3.50,185.25 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:35:36
SPKLU PLN UID RIAU & KEPRI,"Labuh Baru Barat, Payung Sekaki, Kota Pekanbaru, Riau 28292",Buka 24 Jam,4.86,107.53 km,2/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(0, 1, 1)",2025-05-17 11:21:48
SPKLU PLN ULP SELAT PANJANG,"Jl.Yos sudarso., Kec. Tebing Tinggi, Kabupaten Kepulauan Meranti, Riau",Buka 24 Jam,0.00,193.33 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:36:18
SPKLU PLN ULP TALUK KUANTAN,"Ps. Taluk, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566",Buka 24 Jam,4.85,20.46 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-17 11:16:54
SPKLU PLN KP SEI PAKNING,"Jl. Sungai Selari, Kec. Bukit Batu, Kabupaten Bengkalis, Riau",Buka 24 Jam,5.00,202.84 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-17 11:36:49
SPKLU PLN UP3 RENGAT,"Jl. Lintas Timur, Desa Sungai Dawu, Kec. Rengat Barat - Indragiri Hulu",Buka 24 Jam,4.76,80.13 km,2/2 Konektor Tersedia,"('A CCS2', 'B CCS2')","(1, 1)",2025-05-17 11:18:07
SPKLU TRANSMART PEKANBARU B,"Jl. Musyawarah No.11, Labuh Baru Tim., Kec. Payung Sekaki, Kota Pekanbaru, Riau 28292",Buka 24 Jam,4.00,107.32 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:21:22
SPKLU PLN UP3 PAYAKUMBUH,"Jl. Raya Bukittinggi - Payakumbuh 48, Daya Bangun, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26218",Buka 24 Jam,4.69,122.80 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-17 11:25:28
SPKLU MASJID H. ALIUS,"Koto Gaek Guguak, Kec. Gn. Talang, Kabupaten Solok, Sumatera Barat 27365",Buka 24 Jam,5.00,136.07 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:27:52
SPKLU PLN ULP TARUTUNG,"Jl. Guru Mangaloksa No.113, Hutauruk, Kec. Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara 22452",Buka 24 Jam,5.00,409.27 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:47:59
SPKLU PLN ULP PANGKALAN BALAI,"Pangkalan Balai, Banyuasin III, Kab. Banyuasin, Sumatera Selatan",Buka 24 Jam,3.50,405.35 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:47:43
SPKLU PLN ULP SEBERANG KOTA,"Komplek Perkantoran Kabupaten Muaro Jambi, Bukit Balin g, Sekernan, Kab. Muaro Jambi , Jambi 36381",Buka 24 Jam,0.00,230.67 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-17 11:38:18
SPKLU Cafe Monocsky,"Jl. Pramuka, Lembah Sari, Kota Pekanbaru, Riau",Buka 24 Jam,5.00,113.89 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:22:55
SPKLU PLN ULP SIMPANG EMPAT,"Lingkuang Aua, Pasaman, West Pasaman Regency, West Sumatra 26566",Buka 24 Jam,5.00,218.03 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:37:42
SPKLU PLN ULP TEBING TINGGI,"Jl Sekip, Kupang, Kec. Tebing Tinggi, Kab. Empat Lawang, Sumatera Selatan",Buka 24 Jam,5.00,381.96 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:46:42
SPKLU PLN ULP MUARA LABUH,"Jalan Batang Lawe, Muara Labuh, Pasir Talang Bar., Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",Buka 24 Jam,0.00,138.81 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 11:28:18
