Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN ULP JANTHO,"Jl. Jenderal Sudirman, Jantho, Aceh Besar, Aceh",Buka 24 Jam,5.00,884.89 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:49:04
SPKLU PLN ULP MARTAPURA,"Kota Baru , Martapura, kab. Ogan Komering Ulu Timur, Sumatra Selatan  32311",Buka 24 Jam,0.00,566.42 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:01:39
SPKLU Bioskop NSCXMeirobie Belitung,"Jl. Pilang Dukong, Dukong, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33417",Buka 24 Jam,0.00,757.45 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:16:07
SPKLU Rest Area KM 20 A Tol Bakauheni-Terbanggi Besar,"Rest Area KM 20 A Tol Bakauheni-Terbanggi Besar, Kuripan, Kec. Penengahan, Kabupaten Lampung Selatan, Lampung 35592",Buka 24 Jam,4.85,773.47 km,3/3 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:18:27
SPKLU Alun-Alun Rangkasbitung,"Jl. Alun-alun Rangkasbitung, Lebak Banten",Buka 24 Jam,3.50,868.30 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-17 16:31:04
SPKLU HOTEL MARRIOTT RESORT LAMPUNG,"Jl. Pantai Mutun, Hurun, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung",Buka 24 Jam,1.67,727.63 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-17 16:13:04
SPKLU Mobile Anyer,"Jl. Raya Anyer-Sirih No.20, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166",Buka 24 Jam,4.11,818.85 km,2/2 Konektor Tersedia,"('22 kW', '25 kW')","(1, 1)",2025-05-17 16:20:58
SPKLU PLN UP3 PEKANBARU,Jl. DR Setia Budhi No 57 Pekanbaru,Buka 24 Jam,4.81,91.26 km,2/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 0)",2025-05-17 15:17:40
SPKLU Bali Resort Sepatan,"Jl. Raya Mauk, Sepatan, Kec. Sepatan, Kab. Tangerang, Banten",Buka 24 Jam,5.00,872.20 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:33:54
SPKLU WIKA RANGKASBITUNG,"Jl. Tol Serang - Panimbang , Kadu Agung Tengah, Kec Cibadak Kabupaten Lebak Banten",Buka 24 Jam,4.94,865.58 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:29:30
SPKLU PLN ULP LANGSA KOTA,"Jl. Jend. A.Yani No.6, Kota Langsa, Aceh 24375",Buka 24 Jam,3.00,642.74 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-17 16:06:59
SPKLU CLUSTER DAMAR,"Jalan Lingkar Luar Bukit Golf Mediteranian No.1, Kamal Muara, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Buka 24 Jam,5.00,884.16 km,4/4 Konektor Tersedia,"('22 kW', '22 kW', '22 kW', '22 kW')","(1, 1, 1, 1)",2025-05-17 16:48:13
SPKLU REST AREA  KM 360 KERAMASAN,"Rest Area Km. 360 Ruas Tol Terpeka, Pemulutan Ilir, Pemulutan, Ogan Ilir Regency, South Sumatra 30653",Buka 24 Jam,4.94,498.14 km,2/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(0, 1, 1)",2025-05-17 15:52:21
SPKLU SPBU KEBON NANAS,"Jl. MH. Thamrin, RT.001/RW.001, Panunggangan Utara, Kec. Pinang, Kota Tangerang, Banten 15143",Buka 24 Jam,4.00,884.07 km,2/2 Konektor Tersedia,"('7 kW', '22 kW')","(1, 1)",2025-05-17 16:47:51
SPKLU PLN UP3 PAYAKUMBUH,"Jl. Raya Bukittinggi - Payakumbuh 48, Daya Bangun, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26218",Buka 24 Jam,4.69,75.28 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-17 15:11:48
SPKLU BANDARA CITY MALL,"Jl. Wijaya Kusuma 3 No. 21 Dadap, Kec. Kosambi, Kabupaten Tangerang, Banten",Buka 24 Jam,2.59,878.45 km,2/2 Konektor Tersedia,"('25 kW', '22 kW')","(1, 1)",2025-05-17 16:39:46
SPKLU PLN ULP RIMBO BUJANG,"Jl. Pahlawan, Unit 2, Wirotho Agung, Kec. Rimbo Bujang, Kabupaten Tebo, Jambi 37253",Buka 24 Jam,0.00,145.25 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:27:29
SPKLU PLN UJUNG GADING,"JL. NUSANTARA BARAT, Ujung Gading, Lembah Malintang, West Pasaman Regency, West Sumatra 26572",Buka 24 Jam,0.00,204.16 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:30:22
SPKLU REST AREA 56B TOL Palembang - Prabumulih,"Ruas TOL Palembang - Prabumulih, Kabupaten Ogan Ilir, Sumatera Selatan",Buka 24 Jam,3.00,495.44 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:51:51
SPKLU Gallery Marketing Bumi Indah,"Jl. Raya Bumi Indah No.1, Gelam Jaya, Pasar Kemis, Kab. Tangerang",Buka 24 Jam,4.21,874.45 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-17 16:34:42
SPKLU PLN UP3 TANJUNGPINANG,"Jalan Bakar Batu, Kelurahan Kemboja, Kecamatan Tanjung Pinang Barat Kota Tanjungpinang Provinsi Kepulauan Riau",Buka 24 Jam,4.64,374.10 km,2/2 Konektor Tersedia,"('22 kW', '4 kW')","(1, 1)",2025-05-17 15:38:04
SPKLU TRANSMART SERANG,"Jl. Jendral Achmad Yani No. 196 - 198, Sumur Pecung,  Kec Serang, Kota Serang,  Banten",Buka 24 Jam,3.17,842.68 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-17 16:24:54
SPKLU PLN ULP LIMA PULUH KOTA,"Koto Tuo, Kec. Harau, Kabupaten Lima Puluh Kota, Sumatera Barat 26271",Buka 24 Jam,0.00,73.16 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:10:05
SPKLU PLN ULP AIR MOLEK,"Jl Sultan Ibrahim, Candirejo, Kec. Pasir Penyu, Kabupaten Indragiri Hulu, Riau",Buka 24 Jam,5.00,110.07 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-17 15:20:26
SPKLU Sungai Pinyuh,"Jl. Pontianak – Sei Pinyuh, Kec Sungai Pinyuh, Kab Mempawah, Kalimantan Barat",Buka 24 Jam,1.00,866.89 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:29:51
SPKLU PLN ULP CURUP,"Jl. Ahmad Yani No.77, Sukaraja, Kec. Curup Timur, Kabupaten Rejang Lebong, Bengkulu 39119",Buka 24 Jam,5.00,377.97 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:38:49
SPKLU Kantor Gubernur Provinsi Riau,"Jl. Jend. Sudirman No.460, Jadirejo, Kec. Sukajadi, Kota Pekanbaru, Riau 28121",Buka 24 Jam,4.48,89.05 km,1/2 Konektor Tersedia,"('A CCS2', 'B CCS2')","(0, 1)",2025-05-17 15:17:14
SPKLU PLN Kantor Jaga Sijuk,"Jl. Sekolah RT 002 RW 001 Desa Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414",Buka 24 Jam,0.00,762.68 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:17:52
SPKLU Terrace 9A Suvarna Sutera,"Jl. Suvarna Jati Barat, Warna Kerta, Sindang Jaya, Kab. Tangerang, Banten",Buka 24 Jam,4.64,870.76 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:32:07
SPKLU PLN UP3 RENGAT,"Jl. Lintas Timur, Desa Sungai Dawu, Kec. Rengat Barat - Indragiri Hulu",Buka 24 Jam,4.76,126.54 km,2/2 Konektor Tersedia,"('A CCS2', 'B CCS2')","(1, 1)",2025-05-17 15:22:40
SPKLU PLN UP3 JAMBI,"Jl. Urip Sumoharjo No. 02, Telanaipura, Kota Jambi",Buka 24 Jam,4.92,294.04 km,4/4 Konektor Tersedia,"('22 kW', '60 kW', '60 kW', '22 kW')","(1, 1, 1, 1)",2025-05-17 15:34:06
SPKLU PLN ULP TOBOALI,"Jl. Puput No. 001 Toboali, Kabupaten Bangka Selatan, Kepulauan Bangka Belitung 33783",Buka 24 Jam,5.00,649.19 km,3/3 Konektor Tersedia,"('22 kW', '50 kW', '50 kW')","(1, 1, 1)",2025-05-17 16:07:47
SPKLU HOTEL MERCURE BENGKULU,"Jl. S. Parman No.27, Padang Jati, Kec. Ratu Samban, Kota Bengkulu, Provinsi Bengkulu 38227",Buka 24 Jam,5.00,404.39 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:40:54
SPKLU POSKO YANTEK BELILAS,"Jln Lintas Sumatera, Pangkalan Kasai, Kabupaten Indragiri Hulu, Riau",Buka 24 Jam,5.00,126.92 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-17 15:23:46
SPKLU Grand Batavia,"Puri Jaya Batavia Jl. Raya Cadas - Kukun, Sindangsari, Pasar Kemis, Kabupaten Tangerang",Buka 24 Jam,4.69,871.00 km,1/1 Konektor Tersedia,"('4 kW',)","(1,)",2025-05-17 16:33:12
SPKLU PLN ULP PANAM,Jl. HR Soebrantas No Km Rw 12 Simpang Baru.Kecamatan Tampan Kota Pekanbaru Riau,Buka 24 Jam,0.00,82.24 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:14:08
SPKLU SWISS-BELHOTEL JAMBI,"Jl. Prof. Dr Jl. Sumantri Brojonegoro No.1, Solok Sipin, Kecamatan Danau Sipin, Kota Jambi, Jambi 36121",Buka 24 Jam,4.33,294.68 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:34:32
SPKLU PLN ULP MUARA BELITI,"Desa Muara Beliti Baru, Muara Beliti, Kab.Musi Rawas  Sumsel  31661",Buka 24 Jam,0.00,379.21 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:39:05
SPKLU THE TRADERS MEDAN,"Jl. Kapten Patimura No.423, Darat, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153",Buka 24 Jam,5.00,517.31 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:54:33
SPKLU PLN UP3 OGAN ILIR,"Jalan Timbangan, Kec. Indralaya Utara, Kab.Ogan Ilir ,Sumatera Selatan",Buka 24 Jam,4.33,494.17 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:51:10
SPKLU WARKOP PAPA,"Jl. Hamidah No. 67 Batin Tikal, Kota Pangkal Pinang, Kepulauan Bangka Belitung",Buka 24 Jam,5.00,572.41 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 16:03:17
SPKLU PLN KP RAO,"Jl. Kp. Jawa, Taruang Taruang, Kec. Rao, Kabupaten Pasaman, Sumatera Barat 26353",Buka 24 Jam,5.00,170.67 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-17 15:28:50
SPKLU PLN CLUSTER CENDANA,"Cluster Cendana, Bukit Golf Mediterania",Buka 24 Jam,0.00,884.28 km,3/3 Konektor Tersedia,"('22 kW', '22 kW', '22 kW')","(1, 1, 1)",2025-05-17 16:48:37
