Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN ULP BATUSANGKAR,"Jl. Ps. Papan, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27212",Buka 24 Jam,5.0,81.46 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 17:59:08
SPKLU Hotel Prime Park,"Jl. Jendral Sudirman No 3, Simpang Tiga, Kota Pekanbaru, Riau",Buka 24 Jam,0.0,85.19 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:01:02
SPKLU PLN ULP TAKENGON,"Jl. Lebe Kader No.89, Simpang Empat, Kec. Bebesen, Kabupaten Aceh Tengah, Aceh",Buka 24 Jam,4.0,735.99 km,1/1 Konektor Tersedia,(),(),2025-05-15 18:59:18
SPKLU PLN ULP KABANJAHE,"Jl. Veteran, Sumber Mufakat, Kec. Kabanjahe, Kabupaten Karo, Sumatera Utara 22152",Buka 24 Jam,5.0,488.57 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:34:52
SPKLU PLN HOME SMART MEDAN,"Jl. Gatot Subroto No.102, Sei Putih Bar., Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118",Buka 24 Jam,4.75,520.10 km,0/1 Konektor Tersedia,"('25 kW',)","(0,)",2025-05-15 18:43:01
SPKLU PLN UID LAMPUNG,"Jl. ZA. Pagar Alam No.5, Rajabasa, Kota Banjar Lampung, Lampung 35144",Buka 24 Jam,4.88,711.26 km,3/3 Konektor Tersedia,"('100 kW', '100 kW', '22 kW')","(1, 1, 1)",2025-05-15 18:55:30
SPKLU PLN KP RIMBO DATA,"Tanjuang Balik, Kec. Pangkalan Koto Baru, Kabupaten Lima Puluh Kota, Sumatera Barat 26272",Buka 24 Jam,0.0,78.91 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 17:58:52
SPKLU PLN ULP NUSA INDAH,"Jl. Pangeran Natadirja No.65, Jl. Gedang, Kec. Gading Cempaka, Kota Bengkulu, Bengkulu 38225",Buka 24 Jam,0.0,406.80 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:26:33
SPKLU MALL PELAYANAN PUBLIK JAMBI,"Jalan Paal Lima, Kota Baru, Kota Jambi",Buka 24 Jam,5.0,296.16 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:20:26
SPKLU PLN ULP SIMPANG TIGA,"Jl. Kartama, Perhentian Marpoyan, Kec. Marpoyan Damai, Kota Pekanbaru, Riau",Buka 24 Jam,4.93,81.78 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 17:59:35
SPKLU HOTEL MERCURE BENGKULU,"Jl. S. Parman No.27, Padang Jati, Kec. Ratu Samban, Kota Bengkulu, Provinsi Bengkulu 38227",Buka 24 Jam,5.0,403.75 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:26:07
SPKLU PLN ULP TAIS,"Lubuk Kebur, Kec.Seluma, Kab.Seluma, Bengkulu 38878",Buka 24 Jam,5.0,442.71 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:28:59
SPKLU PLN PANDAN VIEW,"Jln. Mandeh, Ampang Pulai, Koto XI Tarusan, Kabupaten Pesisir Selatan, Sumatera Barat 25654",Buka 24 Jam,5.0,140.95 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:11:38
SPKLU HOTEL NIAGARA PARAPAT,"Jl. Pembangunan No.1, Parapat, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Buka 24 Jam,4.0,418.37 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:27:04
SPKLU SANTIKA MEDAN,"Jl. Kapten Maulana Lubis No.7, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111",Buka 24 Jam,1.0,518.70 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:41:43
SPKLU PLN ULP KISARAN,"Jl. Listrik No.1, Tegal Sari, Kec. Kota Kisaran Barat, Kabupaten Asahan, Sumatera Utara 21211",Buka 24 Jam,3.58,406.54 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-15 18:26:18
SPKLU Rest Area 163-A Lampung Tengah,SPKLU Rest Area 163-A Lampung Tengah,Buka 24 Jam,4.82,650.70 km,4/4 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 18:53:13
SPKLU KAMPUS UNAND 2 PYK,"Jl. Rangkayo Rasuna Said, Kubu Gadang, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 26218",Buka 24 Jam,5.0,74.12 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 17:57:24
SPKLU HOTEL BUNDA BUKITTINGGI,"Jl. Ahmad Karim No.17, Benteng Ps. Atas, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26136",Buka 24 Jam,4.75,104.35 km,1/1 Konektor Tersedia,"('4 kW',)","(1,)",2025-05-15 18:04:33
