Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU Rest Area KM 215 B Tol Terpeka,"Rest Area KM 208 A Tol Terpeka, Bakauheni - Kayu Agung Rd, Mulya Sari, Gunung Agung, West Tulang Bawang Regency, Lampung 34684",Buka 24 Jam,4.25,569.26 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:15:14
SPKLU LAMPUNG CITY MALL,"Jl. Yos Sudarso No.80, Bumi Waras, Kec. Bumi Waras, Kota Bandar Lampung",Buka 24 Jam,4.82,682.12 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-14 21:23:40
SPKLU PLN ULP LIPAT KAIN,"Lipat Kain, Kec. Kampar Kiri, Kabupaten Kampar, Riau 28471",Buka 24 Jam,5.0,75.51 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:17:31
SPKLU PLN UP3 BANGKINANG,"Jl. Bangkinang-Payakumbuh, Merangin, Kabupaten Kampar, Riau",Buka 24 Jam,5.0,119.67 km,2/2 Konektor Tersedia,"('50 kW', '50 kW')","(1, 1)",2025-05-14 20:24:03
SPKLU PLN ULP BATUSANGKAR,"Jl. Ps. Papan, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27212",Buka 24 Jam,5.0,125.06 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:27:07
SPKLU PLN ULP BENGKALIS,"Jl. Antara, Rimba Sekampung, Kabupaten Bengkalis, Riau",Buka 24 Jam,5.0,214.38 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-14 20:39:08
SPKLU PLN HOTEL HARPER MEDAN,"Jl. K.H. Wahid Hasyim No.53 / 72, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20154",Buka 24 Jam,5.0,558.21 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-14 21:12:57
SPKLU PLN ULP PANGKALAN BALAI,"Pangkalan Balai, Banyuasin III, Kab. Banyuasin, Sumatera Selatan",Buka 24 Jam,3.5,405.35 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:49:08
SPKLU Rest Area KM 20 B TRANS-SUMATERA,"Rawi, Kec. Penengahan, Lampung",Buka 24 Jam,4.07,732.68 km,5/5 Konektor Tersedia,"('25 kW', '25 kW', 'A CCS2', 'B CCS2', '4 kW')","(1, 1, 1, 1, 1)",2025-05-14 21:29:02
SPKLU PLN ULP AMPERA,"Jl. Gub. H.A. Bastari  Jakabaring, Palembang, Sumatera Selatan",Buka 24 Jam,4.88,444.75 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-14 20:55:21
SPKLU PLN ULP BATURAJA,"Jl. Jend. Ahmad Yani, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121",Buka 24 Jam,0.0,492.04 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:00:45
SPKLU PLN ULP IDI,"JL. Medan - Banda Aceh, Gp. Tanoh Anou, Kab. Aceh Timur, Idi Rayeuk, Aceh, 24454",Buka 24 Jam,5.0,737.45 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:29:31
SPKLU HOTEL EMERALD MEDAN,"Jl. KL. Yos Sudarso No.1, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 20235",Buka 24 Jam,5.0,559.10 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:13:20
SPKLU PLN ULP GEBANG,"Jl. Medan Banda Aceh 67, Pekan Gebang, Kec. Gebang, Kabupaten Langkat, Sumatera Utara 20857",Buka 24 Jam,5.0,612.68 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:18:01
SPKLU Rest Area KM 172-B Tulang Bawang Barat,"Rest Area KM 172-B Tulang Bawang Barat, Lampung",Buka 24 Jam,4.44,602.02 km,4/4 Konektor Tersedia,"('22 kW', '50 kW', '50 kW', '22 kW')","(1, 1, 1, 1)",2025-05-14 21:17:11
SPKLU PLN HOTEL EMERSIA,"Jl. Hamka No.41Jorong Parak Juar, Jl. Hamka No.60, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27211",Buka 24 Jam,5.0,125.50 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:27:18
SPKLU PLN TRANSMART PADANG,"Jl. Khatib Sulaiman No.85, Ulak Karang Sel., Kec. Padang Utara, Kota Padang, Sumatera Barat 25137",Buka 24 Jam,5.0,160.89 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-14 20:33:04
SPKLU PLN ULP TEMBILAHAN,"Jl. Gn. Daek, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau",Buka 24 Jam,4.83,160.18 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-14 20:32:08
SPKLU PLN ULP PANAM,Jl. HR Soebrantas No Km Rw 12 Simpang Baru.Kecamatan Tampan Kota Pekanbaru Riau,Buka 24 Jam,0.0,104.76 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:20:57
SPKLU Taman AeroSport,"Jl. Kaharuddin Nst No.169c, Perhentian Marpoyan, Kota Pekanbaru, Riau",Buka 24 Jam,0.0,102.36 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:20:07
