Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN ULP TAIS,"Lubuk Kebur, Kec.Seluma, Kab.Seluma, Bengkulu 38878",Buka 24 Jam,5.0,415.36 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 23:55:08
SPKLU PLN ULP KURANJI,"Jl. By Pass, Sungai Sapih, Kec. Kuranji, Kota Padang, Sumatera Barat 25586",Buka 24 Jam,5.0,156.21 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 23:37:00
SPKLU PLN UIW SUMBAR,"Jl. Dr. Wahidin No. 8 Sawahan, Kota Padang, Sumatera Barat",Buka 24 Jam,4.91,160.63 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-14 23:38:08
SPKLU PLN UP3 SIBOLGA,"Jl. Dr. Ferdinand Lumban Tobing No.20, Huta Tonga Tonga, Kec. Sibolga Utara, Kota Sibolga, Sumatera Utara 22512",Buka 24 Jam,5.0,405.21 km,2/2 Konektor Tersedia,"('22 kW', '30 kW')","(1, 1)",2025-05-14 23:54:32
SPKLU PLN ULP BATUSANGKAR,"Jl. Ps. Papan, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27212",Buka 24 Jam,5.0,125.06 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 23:33:10
SPKLU Rest Area KM 65 B Pekanbaru - Dumai,"Jl. Tol Pekanbaru - Dumai No. KM 65 B, Tengganau, Kec. Pinggir, Kabupaten Bengkalis, Riau 28784",Buka 24 Jam,4.5,176.87 km,2/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 0)",2025-05-14 23:41:08
SPKLU PLN ULP SIMPANG TIGA,"Jl. Kartama, Perhentian Marpoyan, Kec. Marpoyan Damai, Kota Pekanbaru, Riau",Buka 24 Jam,4.93,100.20 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 23:26:22
SPKLU PLN ULP UJUNG BATU,"Jl. Raya Ujung Batu - Bonai Darussalam, Ngaso, Kec. Ujung Batu, Kabupaten Rokan Hulu, Riau",Buka 24 Jam,5.0,181.85 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 23:41:44
SPKLU PLN ULP KUALA TUNGKAL,"‎‎Jl‎. ‎Beringin No‎. ‎78 ‎Kec Tungkal Ilir, Kab Tanjung Jabung Barat, Jambi 36514‎",Buka 24 Jam,0.0,199.39 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 23:43:28
SPKLU PLN ULP MUARA ENIM,"Jl. Sultan Mahmud Badaruddin II, Kelurahan Air Lintang, Kec. Muara Enim, Kabupaten Muara Enim, Sumatera Selatan 31314",Buka 24 Jam,4.13,425.69 km,3/3 Konektor Tersedia,"('22 kW', '100 kW', '100 kW')","(1, 1, 1)",2025-05-14 23:56:26
SPKLU Rest Area KM 36 A Pekanbaru - Bangkinang,"Jl. Tol Pekanbaru - Bangkinang KM 36 A, Muara Jalai, Kec. Bangkinang, Kabupaten Kampar, Riau 21184",Buka 24 Jam,4.5,118.40 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-14 23:30:09
SPKLU PLN RS SITI RAHMAH,"Jl. By Pass No.KM.15, Aie Pacah, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586",Buka 24 Jam,0.0,156.73 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-14 23:37:16
SPKLU PLN ULP KOTANOPAN,"Jl. Lintas Medan, Padang Bulan, Kec. Kotanopan, Kabupaten Mandailing Natal, Sumatera Utara 22994",Buka 24 Jam,5.0,251.72 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 23:48:17
SPKLU PLN UP3 SOLOK,"Jl. Prof Dr Hamka, Kota Solok, Sumatera Barat",Buka 24 Jam,4.84,125.70 km,3/3 Konektor Tersedia,"('22 kW', '25 kW', '25 kW')","(1, 1, 1)",2025-05-14 23:33:45
SPKLU HOTEL MERCURE BENGKULU,"Jl. S. Parman No.27, Padang Jati, Kec. Ratu Samban, Kota Bengkulu, Provinsi Bengkulu 38227",Buka 24 Jam,5.0,378.94 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 23:53:15
SPKLU PLN S2JB Demang,"Jalan Demang Lebar Daun No. 170 Palembang, Sumatera Selatan",Buka 24 Jam,4.74,438.43 km,4/4 Konektor Tersedia,"('30 kW', '22 kW', '60 kW', '60 kW')","(1, 1, 1, 1)",2025-05-14 23:58:05
