initial_q,Charging Rate,arrival_rate,service_rate,s,k,p,time,waiting_time,param_id,count
0.0,22.0,0.0087,0.3497,1,2,0.025,0,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,6,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,12,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,18,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,24,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,30,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,36,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,42,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,48,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,54,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,60,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,66,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,72,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,78,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,84,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,90,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,96,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,102,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,108,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,114,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,120,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,126,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,132,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,138,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,144,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,150,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,156,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,162,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,168,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,174,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,180,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,186,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,192,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,198,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,204,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,210,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,216,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,222,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,228,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,234,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,240,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,246,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,252,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,258,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,264,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,270,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,276,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,282,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,288,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,294,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,300,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,306,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,312,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,318,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,324,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,330,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,336,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,342,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,348,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,354,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,360,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,366,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,372,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,378,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,384,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,390,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,396,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,402,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,408,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,414,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,420,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,426,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,432,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,438,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,444,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,450,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,456,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,462,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,468,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,474,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,480,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,486,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,492,0.0,0,2
0.0,22.0,0.0087,0.3497,1,2,0.025,498,0.0,0,2
